id,text,topic,label
0,"Я собираюсь завтра начать принимать пажитник, потому что я слышал, что он очень полезен для здоровья. Maybe I’ll notice some changes in my energy levels soon! Мои друзья тоже хотят попробовать семена пажитника, так что мы вместе купим их на выходных. I wonder if we’ll like the taste. Я читал, что пажитник может помогать при пищеварении и улучшать обмен веществ. That sounds pretty cool, right? Я обязательно расскажу тебе, если почувствую какой-то эффект от пажитника. Let’s see what happens!",health,positive
1,"Я недавно прочитал статью про Прохора Шаляпина и его комментарии о молодой супруге Евгения Петросяна. It was quite surprising to see such harsh words directed at a 35-year-old blogger like Tatyana Brukhunova.",entertainment,negative
2,"Она всегда следила за новостями экономики, особенно когда речь шла о крупных контрактах и их последствиях для страны, потому что understanding global markets was important for her generation.",world,neutral
3,"Cadillac внедряет новые технологии в свои автомобили, exciting, right? Многие клиенты ждут новых электрокаров, can't wait! Dolby Atmos добавляет уникальный опыт для водителей, absolutely amazing! Современный бизнес требует инноваций, that's the way to go!",business,positive
4,"Студия Pearl Abyss планирует выпустить Crimson Desert в ближайшем будущем. The community is really excited to see what new features will be revealed next. Команда разработчиков обнародует всё больше подробностей об игре. Fans are eagerly waiting for the official release date.",general,positive
5,"Он всегда заботится о своем здоровье, you know? Врачи советуют следить за микрофлорой кишечника, right? Питание должно быть сбалансированным, well, это важно. Исследования показывают, что микробы влияют на эффективность лекарств, interestingly.",health,positive
6,"Китайская марка Hongqi действительно быстро растет на рынке Восточной Европы. They are introducing five new models in Poland, including sedans and SUVs without electrification. Это интересно, потому что многие конкуренты уже делают ставку на electric vehicles. Hongqi же выбирает другой путь, делая акцент на традиционные двигатели.",business,positive
7,"В будущем я буду гордиться своей страной, потому что I think our nation will achieve a lot of great things. Я собираюсь изучать историю России, чтобы понять, how our nation became so strong. Я хочу путешествовать по разным городам страны, and maybe I’ll even make friends from all over the nation. Когда я вырасту, я постараюсь помочь своей стране стать лучше, because I believe my generation can change the nation.",nation,positive
8,"Российские эксперты анализируют ситуацию на границе, you know? В Курской области сохраняется напряжённость, right? Сумщина всё ещё находится под контролем украинских сил, by the way. Обсуждение ситуации продолжается в экспертных кругах, as usual.",nation,neutral
9,"Я вчера смотрел новости про Дом 2, you know? Многие обсуждали слухи о беременности Татьяны, right? Я не был уверен, но это казалось важным для фанатов, you see? Интересно, как они объявят эту новость, anyway?",entertainment,negative
10,"Hyundai Mobis работает над новым голографическим дисплеем. This technology transforms the windshield into a high-tech display.",technology,neutral
11,"В Германии скоро будут досрочные выборы в бундестаг. I wonder how this will affect Annalena Baerbock's career.",world,neutral
12,"После инаугурации Трампа она ожидает положительных изменений, you know?",world,positive
